HEROP_ID,FIPS,MdMarijLaw,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,ExpnFedExp,ExpnSttExp,TradFedExp,TradSttExp,MedcdExp,TotPop,MaleP,FemP,Ovr16P,Ovr18P,Ovr21P,Ovr65P,SRatio,SRatio18,SRatio65,WhiteE,AsianE,PacIsE,HisE,AmIndE,TwoRaceE,OtherE,SomeCollegeP,EduNoHsP,EduHsP,BachelorsP,GradSclP,Ovr16,Ovr18,Ovr21,Ovr65,BlackE,WhiteP,BlackP,AsianP,PacIsP,HisP,AmIndP,TwoRaceP,OtherP,EngProf,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,TtlJlPpr,TtlJlPrtr,TtlJlPp,TtlJlPrt,EdBupPolP,PerImpBupP,BupPolP,MedPolProp
040US26,26,1.0,1.0,1.0,1.0,1.0,1.0,1/1/1988,1/1/1990,1/1/2003,6/1/2018,1/3/2002,5658509000.0,710094100.0,11191489400.0,4826753800.0,22386846300.0,10051595,49.57,50.43,81.13,78.56,68.18,18.16,98.28,96.15,83.27,7516312,329676,2670,576808,46010,633452,176786,18.47,8.11,28.2,19.28,12.48,8155338,7896802,6853309,1824907,1346689,74.78,13.4,3.28,0.03,5.74,0.46,6.3,1.76,96.44,0.51,0.76,0.11,0.3,0.82,0.07,0.49,0.83,0.03,207.71,140.84,13353.65,9054.63,0.21,2023-03-01 to 2023-06-25,0.38,1.0
040US27,27,1.0,1.0,1.0,1.0,1.0,1.0,7/1/2007,1/1/2009,4/1/2010,1/1/2021,7/1/2007,3263687500.0,354687500.0,8341536700.0,6581915800.0,18541827400.0,5713716,50.09,49.91,79.63,76.95,67.12,16.84,100.37,98.85,85.84,4476710,289148,2376,353608,50833,354300,151560,16.5,6.15,23.52,25.27,13.56,4549661,4396457,3835113,962143,388789,78.35,6.8,5.06,0.04,6.19,0.89,6.2,2.65,95.42,0.47,0.81,0.05,0.3,0.82,0.08,0.42,0.82,0.03,138.97,102.22,5080.72,3737.17,0.0,,0.0,1.0
040US28,28,1.0,1.0,1.0,1.0,0.0,1.0,1/1/2005,6/1/2006,7/1/2008,,6/30/2006,,,4505694800.0,915879000.0,5421573700.0,2951438,48.5,51.5,79.38,76.54,65.95,16.78,94.18,91.16,78.3,1661873,28918,1411,106126,13181,106174,49104,18.18,13.36,29.91,14.73,9.43,2342850,2259103,1946558,495115,1090777,56.31,36.96,0.98,0.05,3.6,0.45,3.6,1.66,98.33,0.36,0.44,0.5,0.48,0.5,0.06,0.59,0.5,0.02,668.96,278.45,12576.6,5234.91,0.0,,0.0,0.0
040US29,29,1.0,1.0,1.0,0.05,0.0,0.05,8/28/2021,7/1/2017,12/13/2023,,12/13/2023,2530045500.0,281864300.0,9585913300.0,3071388400.0,15469211600.0,6168181,49.3,50.7,80.18,77.52,67.59,17.5,97.22,94.77,81.16,4831646,127846,9681,311924,16830,388899,106663,17.39,8.41,30.34,19.55,12.34,4945676,4781610,4168915,1079129,686616,78.33,11.13,2.07,0.16,5.06,0.27,6.3,1.73,97.79,0.44,0.84,0.07,0.33,0.86,0.06,0.48,0.83,0.02,280.1,243.2,11043.71,9588.96,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US30,30,1.0,1.0,1.0,1.0,1.0,1.0,7/1/2011,7/1/2011,10/1/2012,7/1/2021,7/1/2011,932547900.0,94964700.0,978281000.0,382319400.0,2388113000.0,1105072,50.68,49.32,81.25,78.74,69.36,19.7,102.75,101.56,92.87,946776,9197,485,48519,63108,66068,13423,18.65,5.43,27.88,22.84,11.7,897820,870130,766496,217665,6015,85.68,0.54,0.83,0.04,4.39,5.71,5.98,1.21,99.11,0.36,0.64,0.01,0.18,0.77,0.04,0.3,0.65,0.01,442.71,226.99,3125.61,1602.57,0.0,,0.0,1.0
040US31,31,0.0,1.0,1.0,1.0,0.0,1.0,4/14/2011,8/1/2011,1/1/2017,,8/27/2011,766965400.0,93805700.0,1885777300.0,1110846800.0,3857395200.0,1965926,50.23,49.77,78.16,75.34,65.61,16.39,100.93,98.98,84.31,1570391,49107,933,242226,19581,149163,83156,18.6,7.93,25.13,22.2,11.92,1536522,1481176,1289801,322165,93595,79.88,4.76,2.5,0.05,12.32,1.0,7.59,4.23,94.82,0.26,0.74,0.02,0.17,0.81,0.1,0.27,0.65,0.01,308.81,241.64,3833.98,3000.02,0.0,,0.0,1.0
040US32,32,1.0,1.0,1.0,1.0,1.0,1.0,6/29/1995,1/1/1996,2/1/2011,10/1/2015,10/1/1995,1980420500.0,217824300.0,2079082900.0,968700700.0,5246028500.0,3141000,50.38,49.62,80.51,77.94,68.13,16.63,101.54,100.32,89.99,1670302,274032,22581,917057,41434,465898,370951,20.85,12.63,27.43,17.76,9.62,2528760,2448129,2140106,522417,295802,53.18,9.42,8.72,0.72,29.2,1.32,14.83,11.81,88.89,0.31,0.67,0.04,0.2,0.65,0.23,0.3,0.62,0.04,276.85,183.25,5743.18,3801.49,0.44,,0.0,1.0
040US33,33,1.0,1.0,1.0,1.0,1.0,1.0,6/12/2012,6/1/2012,10/1/2014,1/21/2016,6/12/2012,415928500.0,50356100.0,1088044700.0,893713100.0,2448042400.0,1387834,49.9,50.1,83.88,81.49,70.64,19.49,99.61,98.27,86.87,1234149,35818,283,62758,1923,76662,17835,14.21,5.94,27.01,24.13,15.69,1164149,1130928,980424,270525,21164,88.93,1.52,2.58,0.02,4.52,0.14,5.52,1.29,97.62,0.58,0.85,0.05,0.42,0.85,0.07,0.49,0.87,0.04,136.95,87.51,1244.83,795.42,0.0,,0.0,1.0
040US34,34,1.0,1.0,1.0,1.0,1.0,1.0,1/4/2008,8/1/2009,1/1/2012,11/1/2015,8/1/2010,5594358300.0,621022700.0,9350631600.0,7607774200.0,23173786800.0,9267014,49.19,50.81,80.69,78.08,67.72,16.83,96.82,94.49,78.62,5276142,918644,2658,2032968,41900,978591,848026,13.05,9.3,25.75,25.8,17.11,7477249,7235692,6275201,1559816,1201053,56.93,12.96,9.91,0.03,21.94,0.45,10.56,9.15,87.33,0.55,0.43,0.24,0.43,0.47,0.31,0.43,0.58,0.15,180.82,137.64,10875.99,8279.0,1.0,2023-03-01 to 2023-12-31,1.0,1.0
040US35,35,1.0,1.0,1.0,1.0,1.0,1.0,7/15/2004,7/1/2004,8/1/2005,9/28/2012,7/15/2004,2026725000.0,211870300.0,4739079800.0,1195829200.0,8173504300.0,2114768,49.67,50.33,80.66,77.94,68.25,18.78,98.68,97.27,85.51,1133871,36065,2049,1018321,201346,442934,253794,19.47,12.28,25.73,16.59,13.61,1705686,1648151,1443310,397156,44709,53.62,2.11,1.71,0.1,48.15,9.52,20.94,12.0,91.34,0.39,0.38,0.03,0.24,0.37,0.53,0.42,0.36,0.03,428.33,320.57,5725.02,4284.72,0.0,,0.0,1.0
