"HEROP_ID","FIPS","AnyGslDt","GslArrDt","AnyGslFr","GslArrFr","MdMarijLaw","AnyNalxDt","NalxPrStDt","NalxPresDt","AnyNalxFr","NalxPrStFr","NalxPresFr","AnyPdmpFr","AnyPdmphFr","OpPdmpFr","MsAcPdmpFr","ElcPdmpFr","AnyPdmpDt","AnyPdmphDt","OpPdmpDt","MsAcPdmpDt","ElcPdmpDt","TotHcv","MlHcv","FmHcv","Un50Hcv","A50_74Hcv","Ov75Hcv","BlkHcv","NonBlkHcv","HcvD","MlHcvD","FlHcvD","AmInHcvD","AsPiHcvD","BlkHcvD","HspHcvD","U50HcvD","A50_74HcvD","O75HcvD","AvHcvD","AvMlHcvD","AvFlHcvD","AvAmInHcvD","AvAsPiHcvD","AvBlkHcvD","AvHspHcvD","AvU50HcvD","Av50_74HcvD","AvO75HcvD","OdMortRt"
"040US26","26","1/4/2017","",1,0,1,"11/1/2014","4/1/2017","",1,0.75,0,1,1,1,0,1,"1/1/1988","1/1/1990","1/1/2003","","1/3/2002",69100,46000,22900,19600,47600,1700,24900,44100,368,256,112,NA,NA,115,17,NA,328,11,464.4,330,134.4,NA,NA,149.8,21.4,17.2,401.8,22.2,27.8
"040US27","27","7/1/2014","",1,0,1,"6/1/2014","6/1/2014","",1,1,0,1,1,1,0,1,"7/1/2007","1/1/2009","4/1/2010","","7/1/2007",24300,16700,6800,5500,17400,600,6700,16900,235,167,68,15,12,43,NA,NA,207,NA,236.6,169.8,66.8,15,4,38.6,7,6.4,202.8,NA,13.3
"040US28","28","7/1/2015","7/1/2015",1,1,0,"7/1/2015","7/1/2015","",1,1,0,1,1,1,0,1,"1/1/2005","6/1/2006","7/1/2008","","6/30/2006",22900,15200,7800,5700,16600,600,7800,15200,159,113,46,NA,NA,43,NA,10,131,NA,170.8,121.4,49.4,NA,NA,41,NA,10.2,132.8,1.2,12.2
"040US29","29","8/28/2017","8/28/2017",1,1,0,"9/1/2016","9/1/2016","",1,1,0,0.5,0.5,0,0,0.5,"7/1/2017","7/1/2017","","","7/1/2017",40300,27100,12700,12900,25900,900,9900,29900,247,176,71,NA,NA,51,NA,14,214,NA,284.8,209.8,75,NA,NA,57.8,4.2,11.6,242.6,4,23.4
"040US30","30","5/3/2017","",1,0,1,"5/1/2017","5/1/2017","",0.67,0.67,0,1,1,1,0,1,"7/1/2011","7/1/2011","10/1/2012","","7/1/2011",7400,5000,2500,2100,5200,100,100,7300,68,42,26,20,NA,NA,NA,NA,49,NA,67,46.4,20.6,13.4,NA,NA,NA,1.4,45.8,NA,11.7
"040US31","31","8/24/2017","8/24/2017",1,1,0,"6/1/2015","","",1,0,0,1,1,1,0,1,"4/14/2011","8/1/2011","1/1/2017","","8/27/2011",7900,5000,2500,1500,5800,200,1700,5900,79,51,28,NA,NA,17,NA,NA,67,NA,81.2,57,24.2,NA,NA,12.2,NA,3.4,56.6,NA,8.1
"040US32","32","10/1/2015","10/1/2015",1,1,1,"10/1/2015","10/1/2015","",1,1,0,1,1,1,1,1,"6/29/1995","1/1/1996","2/1/2011","10/1/2015","10/1/1995",21900,15500,6400,5100,16300,500,2900,19200,153,108,45,NA,NA,20,23,NA,127,NA,180,126.6,53.4,NA,NA,17.2,20.6,1.6,145.6,1.4,21.6
"040US33","33","9/6/2015","9/6/2015",1,1,1,"7/1/2015","7/1/2015","",1,1,0,1,1,1,1,1,"6/12/2012","6/1/2012","10/1/2014","1/21/2016","6/12/2012",7700,5600,2000,2800,4700,100,200,7500,57,48,NA,NA,NA,NA,NA,NA,31,NA,65,50.6,12.4,NA,NA,NA,NA,NA,45.6,NA,37
"040US34","34","5/2/2013","5/2/2013",1,1,1,"7/1/2013","7/1/2013","",1,1,0,1,1,1,1,1,"1/4/2008","8/1/2009","1/1/2012","11/1/2015","8/1/2010",47200,32100,14000,13600,30700,1700,14300,31900,342,236,106,NA,NA,102,55,10,280,28,398,281.8,116.2,NA,NA,120.4,52.6,19.4,328.6,27,30
"040US35","35","6/15/2007","",1,0,1,"5/1/2001","4/1/2016","4/1/2014",1,1,1,1,1,1,1,1,"7/15/2004","7/1/2004","8/1/2005","9/28/2012","7/15/2004",26700,19800,8300,9100,18300,600,700,27500,175,143,32,NA,NA,NA,99,11,142,NA,201.4,153.2,48.2,9.8,NA,NA,112,22.2,157.4,NA,24.8
"040US36","36","9/18/2011","",1,0,1,"4/1/2006","7/1/2014","",1,1,0,1,1,1,1,1,"1/1/1972","1/1/1990","6/1/2013","8/27/2013","1/1/1998",116000,78100,36100,26600,82500,5000,34800,79600,701,495,206,NA,17,178,183,36,557,96,940,647.6,292.4,NA,26.2,236.6,243.6,55.2,762.8,103.8,19.4
"040US37","37","4/9/2013","",1,0,0,"5/1/2013","5/1/2013","",1,1,0,1,1,1,0,1,"8/13/2005","1/1/2006","7/1/2007","","1/1/2006",66400,44500,21400,17600,46900,1400,21800,44200,460,330,130,11,NA,104,NA,17,409,NA,504.6,361.4,143.2,6.2,NA,136.2,8,36.2,432.4,3.6,24.1
"040US38","38","8/1/2015","",1,0,0,"8/1/2015","8/1/2015","4/1/2016",1,1,1,1,1,1,0,1,"12/1/2005","12/1/2006","10/1/2008","","4/5/2007",2600,1800,600,800,1500,100,100,2300,23,15,NA,NA,NA,NA,NA,NA,NA,NA,24.2,17.4,NA,NA,NA,NA,NA,NA,1.6,NA,9.2
"040US39","39","9/13/2016","9/13/2016",1,1,1,"4/1/2014","8/1/2015","",1,1,0,1,1,1,1,1,"5/18/2005","5/1/2005","10/1/2006","12/31/2015","5/18/2005",89600,61300,28800,33400,54900,1700,26700,63500,541,403,138,NA,NA,148,NA,40,459,12,549.4,393.2,156.2,NA,NA,144.6,7.6,41.4,459.4,26.8,46.3
"040US40","40","","",0,0,0,"11/1/2013","","11/1/2014",1,0,1,1,1,1,1,1,"5/15/1990","1/1/1991","7/1/2006","11/1/2015","5/15/1990",53300,38000,19600,15000,41500,1100,5700,52100,555,375,180,59,NA,61,25,71,446,19,509.6,345,164.6,55.6,NA,43.6,19.6,58.4,416.2,11.4,20.1
"040US41","41","1/1/2016","1/1/2016",1,1,1,"7/1/2013","7/1/2013","4/1/2016",1,1,1,1,1,1,0,1,"7/23/2009","7/1/2009","9/1/2011","","7/23/2009",48700,35400,15400,8500,41200,1100,2200,48700,518,367,151,11,10,21,18,30,442,12,527,378.2,148.8,12,6.4,15.8,24,35.2,455.6,14,12.4
"040US42","42","12/1/2014","",1,0,1,"12/1/2014","12/1/2014","",1,1,0,1,1,1,0,1,"1/1/1972","1/1/1990","8/1/2016","","1/1/2002",93900,65600,28200,33200,58400,2100,28300,65600,563,412,151,NA,NA,149,37,21,473,34,623.2,450,173.2,NA,NA,166.4,48.2,38.6,525.4,31.6,44.3
"040US44","44","6/18/2012","",1,0,1,"7/1/2012","4/1/2014","",1,1,0,1,1,1,1,1,"1/1/1978","1/1/1990","9/1/2012","6/28/2016","1/1/1997",10000,7200,3000,2800,7100,300,1500,8700,76,49,27,NA,NA,NA,NA,NA,58,NA,87.8,63.2,24.6,NA,NA,1.6,6,4.2,63.4,NA,31
"040US45","45","6/10/2017","",1,0,0,"7/1/2015","7/1/2016","",1,1,0,1,1,1,0,1,"6/14/2006","6/1/2006","2/1/2008","","6/14/2006",35600,24100,11500,7900,26900,800,12600,23100,302,217,85,NA,NA,89,NA,16,264,NA,291.8,213.2,78.6,NA,NA,89.6,NA,18.6,247.2,NA,20.5
"040US46","46","7/1/2017","7/1/2017",1,1,0,"7/1/2016","7/1/2016","",1,1,0,1,1,1,0,1,"3/29/2010","3/1/2010","3/1/2012","","7/1/2010",3700,2300,1100,1200,2100,100,100,3300,29,21,NA,NA,NA,NA,NA,NA,NA,NA,31.6,22.8,1.4,NA,NA,NA,NA,NA,5.6,NA,8.5
"040US47","47","7/1/2015","7/1/2015",1,1,0,"7/1/2014","7/1/2014","",1,1,0,1,1,1,1,1,"1/1/2003","1/1/2003","1/1/2010","7/1/2013","1/1/2003",69100,47700,24100,21900,48500,1400,16700,55200,469,319,150,NA,NA,97,NA,56,375,10,526.2,368.8,157.4,NA,NA,109.8,NA,62,427.2,13.6,26.6
"040US48","48","","",0,0,0,"9/1/2015","9/1/2015","",1,1,0,1,1,1,0,1,"1/1/1982","8/1/1981","8/1/2012","","1/1/1998",202500,139400,64800,43100,154600,6300,43700,160600,1888,1364,524,NA,35,326,530,143,1602,132,1894.6,1366,528.6,NA,30.2,332.8,527,180.2,1576.6,124.6,10.5
"040US49","49","3/20/2014","",1,0,0,"6/1/2014","6/1/2016","",1,1,0,1,1,1,0,1,"7/1/1995","7/1/1995","1/1/2006","","7/1/1995",12300,7900,3900,4800,6700,200,300,11500,68,52,16,NA,NA,NA,11,NA,35,NA,84.2,62,22.2,NA,NA,NA,13.2,NA,58.6,NA,22.3
"040US50","50","6/5/2013","6/5/2013",1,1,1,"7/1/2013","7/1/2013","",1,1,0,1,1,1,1,1,"7/1/2006","6/1/2008","1/1/2009","11/15/2013","7/1/2006",3700,2600,1100,900,2600,100,100,3500,40,32,NA,NA,NA,NA,NA,NA,13,NA,37,27,5,NA,NA,NA,NA,NA,13,NA,23.2
"040US51","51","7/1/2015","",1,0,0,"7/1/2013","5/1/2015","",1,1,0,1,1,1,1,1,"4/1/2003","9/1/2003","6/1/2006","7/1/2015","4/1/2003",39900,26100,11400,10000,26300,1000,13600,23800,290,226,64,NA,10,96,NA,13,252,NA,324.2,240.4,83.8,NA,3.4,108.8,NA,18.4,282.6,1.4,17.9
"040US53","53","6/10/2010","",1,0,1,"7/1/2010","8/1/2015","",1,1,0,1,1,1,0,1,"7/22/2007","8/1/2011","1/1/2012","","7/22/2007",54200,37500,16900,9400,43300,1600,5600,49000,528,375,153,26,17,39,35,17,472,12,586.4,409.2,177.2,23.6,24.4,42.2,34.4,26.6,510.8,27,15.2
"040US54","54","6/12/2015","",1,0,0,"6/1/2015","7/1/2016","",1,1,0,1,1,1,1,1,"6/11/1995","6/1/1995","5/1/2013","6/8/2012","6/11/1995",20600,14400,6900,10100,10900,200,1600,19800,116,82,34,NA,NA,NA,NA,NA,89,NA,111,81.6,29.4,NA,NA,4.2,NA,6.6,78.2,NA,57.8
"040US55","55","4/9/2014","",1,0,0,"5/1/2014","","",1,0,0,1,1,1,0,1,"6/2/2010","6/1/2010","6/1/2013","","6/2/2010",27900,18200,8300,8100,17800,600,7600,18900,145,110,35,NA,NA,31,NA,NA,124,NA,189.4,135.2,54.2,NA,NA,43.4,7,3.8,158.8,1.6,21.2
"040US56","56","","",0,0,0,"7/1/2017","7/1/2017","7/1/2017",0.5,0.5,0.5,1,1,1,0,1,"7/1/2003","7/1/2003","7/1/2013","","7/1/2003",3700,2300,1200,1100,2400,100,100,3500,41,22,19,NA,NA,NA,NA,NA,21,NA,34.6,22.8,7.8,NA,NA,NA,NA,NA,11.2,NA,12.2
