"HEROP_ID","FIPS","PrcNtvRsrv","TtlJlPpr","TtlJlAdmr","TtlJlPrtr","TtlJlPp","TtlJlAdm","TtlJlPrt","OdMortRt"
"050US37161","37161",0,492.17,35300.39,397.61,203,14560,164,30.9
"050US37163","37163",0.07,538.76,7854.79,584.07,214,3120,232,18.3
"050US37177","37177",0,221.16,3833.39,184.3,6,104,5,21.1
"050US38005","38005",0.22,444.78,21145.04,510.18,17.48,831,20.05,13.9
"050US38033","38033",0,323.25,8889.41,170.13,3.42,94.05,1.8,16.1
"050US38053","38053",0.06,61.37,1914.82,0,5,156,0,18.1
"050US38059","38059",0,251.32,7579.79,150.79,50,1508,30,12.7
"050US38067","38067",0,190.25,8656.36,166.47,8,364,7,14
"050US38071","38071",0,444.84,21144.91,510.32,31.25,1485.43,35.85,12.8
"050US22067","22067",0,1265.02,3048.7,841.24,200,482,133,17.9
"050US22069","22069",0.11,1941.44,10335.77,477.4,488,2598,120,14.2
"050US22079","22079",0.02,1382.52,18385.62,398.44,1152,15320,332,19.5
"050US22097","22097",0,547.97,6834.04,581,282,3517,299,18.5
"050US22107","22107",0,,,,,,,16.4
"050US22113","22113",0,371.29,1767.55,251.01,142,676,96,16.8
"050US22117","22117",0,672.87,1376.63,576.74,196,401,168,45.6
"050US22123","22123",0,352.42,763.58,176.21,24,52,12,22.1
"050US23007","23007",0.04,131.23,3275.59,47.24,25,624,9,17.8
"050US08065","08065",0,93.76,15600.98,37.5,5,832,2,19
"050US08071","08071",0,391.84,11985.71,495.56,34,1040,43,32.7
"050US08093","08093",0,900.09,35741.76,65.46,110,4368,8,20.9
"050US08105","08105",0,393.39,7054.71,366.25,27.25,488.68,25.37,34.7
"050US08113","08113",0,156.17,,121.46,9,,7,24.9
"050US09001","09001",0,,,,,,,17.9
"050US09007","09007",0,,,,,,,27
"050US09011","09011",0.01,,,,,,,31.2
"050US10005","10005",0.03,,,,,,,27.1
"050US12033","12033",0,948.21,8792.36,750.32,1955,18128,1547,18.8
"050US12037","12037",0,899.09,14653.78,617.28,67,1092,46,25.3
"050US12041","12041",0,353.86,11040.34,283.09,40,1248,32,23.4
"050US12047","12047",0,468.99,12464.83,270.97,45,1196,26,19.4
"050US12053","12053",0,556.38,5843.38,424.97,597,6270,456,24.2
"050US12071","12071",0,388.57,5575.94,246.46,1646,23620,1044,30.3
"050US19009","19009",0,61.44,1597.54,0,2,52,0,13.8
"050US19027","19027",0,57.77,5579.4,0,7,676,0,14.6
"050US19075","19075",0,67.1,,53.68,5,,4,11.1
"050US19113","19113",0,249.82,7407,103.35,365,10822,151,14.2
"050US19147","19147",0,93.13,5811.14,18.63,5,312,1,12.3
"050US19195","19195",0,85.27,6651.03,42.63,4,312,2,12.6
"050US20069","20069",0,242.38,6607.47,161.68,8.83,240.71,5.89,15
"050US20143","20143",0,798.24,14313.24,0,29,520,0,14.3
"050US20181","20181",0,551.12,2865.8,165.33,20,104,6,17.1
"050US21005","21005",0,571.56,10412.73,383.34,83.63,1523.59,56.09,33
"050US21025","21025",0,1492.38,1492.38,1004.89,128.3,128.3,86.39,46.7
"050US21029","21029",0,405.29,1017.89,212.92,217,545,114,33.3
"050US21033","21033",0,0,0,0,0,0,0,21.4
"050US21043","21043",0,1152.18,,760.32,197,,130,48.3
"050US21049","21049",0,300.75,20851.68,453.3,69,4784,104,46.3
"050US21063","21063",0,456.07,7754.19,145.22,22.58,383.91,7.19,38.9
"050US21071","21071",0,653.34,12634.13,411.04,151,2920,95,54.1
"050US21085","21085",0,3930.42,25003.01,3099.8,653,4154,515,30.4
"050US21097","21097",0,646.8,18596.7,403.88,77.59,2230.86,48.45,41.1
"050US21109","21109",0,869.67,7235.62,347.87,75,624,30,37.3
"050US21119","21119",0,835.67,12231.89,565.75,83.5,1222.21,56.53,49
"050US21125","21125",0,1197.51,15352.73,767.64,468,6000,300,29.5
"050US21135","21135",0,750.56,15855.52,328.37,64,1352,28,38.4
"050US21139","21139",0,1034.74,11214.95,265.66,58.97,639.14,15.14,27.4
"050US21153","21153",0,456.1,7754.27,145.28,37.14,631.43,11.83,48.9
"050US21159","21159",0,456.19,7754.28,145.25,35.46,602.74,11.29,53.8
"050US21167","21167",0,,,,,,,25.4
"050US21181","21181",0,646.76,18596.71,403.95,29.46,847.08,18.4,40.5
"050US21183","21183",0,413.42,11789.02,286.72,62,1768,43,21.2
"050US21193","21193",0,835.68,12231.94,565.74,142.5,2085.79,96.47,47.3
"050US21197","21197",0,1575.5,5243.26,642.8,125,416,51,50.9
"050US21205","21205",0,818.92,9515.57,374.86,142,1650,65,33.5
"050US54109","54109",0,346.61,5520.14,202.43,46.3,737.38,27.04,77.3
"050US55023","55023",0,222.38,8935.61,20.22,22,884,2,14.9
"050US55037","55037",0,367.65,,110.29,10,,3,20.1
"050US55051","55051",0.04,244.8,1591.19,61.2,8,52,2,21.4
"050US55069","55069",0,767.59,4078.89,599.51,137,728,107,15.1
"050US55075","55075",0,544.8,9725.16,195.15,134,2392,48,15.1
"050US55111","55111",0,465.73,7085,91.66,188,2860,37,18.2
"050US41007","41007",0,261.51,8924.12,77.64,64,2184,19,19.2
"050US41017","41017",0,190.02,5683.78,121.92,226,6760,145,13.5
"050US41019","41019",0,348.07,10482.48,265.71,224,6746,171,15.8
"050US41065","41065",0.25,349.42,8346.5,316.54,56.33,1345.54,51.03,15.6
"050US42003","42003",0,342.35,2185.55,257.39,2756,17594,2072,60.8
"050US42027","42027",0,218.84,1520.16,95.22,262,1820,114,12.4
"050US42033","42033",0,287.72,2309.5,104.28,149,1196,54,18.9
"050US42041","42041",0,252.88,2148.84,99.92,410,3484,162,27.7
"050US42045","42045",0,989.33,4430.14,643.74,3670,16434,2388,48.1
"050US42051","42051",0,319.32,2238.81,265.5,267,1872,222,53
"050US42061","42061",0,152.57,1763.01,101.71,45,520,30,21.5
"050US42071","42071",0,284.27,1639.7,198.64,966,5572,675,29.1
"050US42089","42089",0,303.36,2395.21,141.57,345,2724,161,22.7
"050US42095","42095",0,364.31,2090.11,194.06,719,4125,383,35.5
"050US51063","51063",0,773.71,8515.84,274.28,74.98,825.27,26.58,23
"050US51087","51087",0,545.06,6136.39,278.85,1178.61,13268.89,602.97,19
"050US53077","53077",0.45,716.85,12535.52,598.78,1105,19323,923,15.5
"050US45027","45027",0,271.58,3964.17,223.94,57,832,47,13.3
"050US45047","45047",0,458.86,9708.04,445.36,204,4316,198,19
"050US01043","01043",0,604.5,11517.93,573.89,316,6021,300,21.7
"050US45029","45029",0,596.98,5583.23,377.94,139,1300,88,19.4
"050US45071","45071",0,348.76,8698.36,240.81,84,2095,58,15.1
"050US46067","46067",0,,,,,,,11
"050US01033","01033",0,314.07,5292.7,250.09,108,1820,86,12.4
"050US02050","02050",0.01,44.44,1386.67,35.56,5,156,4,23.2
"050US04007","04007",0.38,470.57,9929.76,508.08,138,2912,149,31.1
"050US05039","05039",0,2465.81,25644.47,1389.82,110,1144,62,16.4
"050US06039","06039",0,455.34,5048.32,363.06,449,4978,358,14.9
"050US08043","08043",0,616.1,11346.43,275.96,192,3536,86,25
"050US12013","12013",0,582.13,1100.76,317.53,55,104,30,20.6
"050US12069","12069",0,373.27,5691.13,246.5,742,11313,490,22.5
"050US12129","12129",0,872.62,7202.55,918.79,189,1560,199,18.2
"050US13219","13219",0,165.11,2146.37,82.55,40,520,20,14.9
"050US16035","16035",0.05,424.38,20061.73,308.64,22,1040,16,18.4
"050US16069","16069",0.48,462.32,11506.7,221.28,117,2912,56,19.7
"050US17153","17153",0,1088.67,4445.45,1100.09,36.22,147.9,36.6,23.3
"050US18071","18071",0,811.35,7291.44,657.66,227,2040,184,31.3
"050US19087","19087",0,125.39,4890.28,164.58,16,624,21,13.8
"050US21003","21003",0,535.04,6661.64,271.29,71,884,36,21.8
"050US21051","21051",0,1453.07,23045.63,653.88,200,3172,90,40.1
"050US21165","21165",0,,,,,,,47.5
"050US46085","46085",0.2,,,,,,,13.6
"050US47057","47057",0,771.02,11149.02,880.19,113,1634,129,29.4
"050US02195","02195",0,288.46,20000,48.08,6,416,1,
"050US06009","06009",0,346.26,6870,173.13,94,1865,47,22.8
"050US08097","08097",0,128.5,10023.29,24.09,16,1248,3,18.9
"050US13007","13007",0,508.65,0,101.73,10,0,2,12.8
"050US21055","21055",0,2099.17,5646.04,325.73,116,312,18,25.2
"050US22017","22017",0,751.63,15072.38,466.09,1174,23542,728,14.7
"050US22115","22115",0.16,701.88,306.7,67.83,238,104,23,15.2
