"HEROP_ID","FIPS","GEOID","OpRxRt","SviTh1","SviTh2","SviTh3","SviTh4","SviSmryRnk"
"050US51670","51670",51670,37.8,0.9138,0.8435,0.9074,0.6001,0.8801
"050US51678","51678",51678,99.8,0.0789,0,0.5119,0.5912,0.0474
"050US51680","51680",51680,108.7,0.6917,0.1429,0.7684,0.9122,0.7066
"050US51683","51683",51683,70.9,0.5173,0.3137,0.931,0.3093,0.4884
"050US51685","51685",51685,-9,0.7588,0.3261,0.9593,0.4295,0.6532
"050US51690","51690",51690,234.3,0.8661,0.9882,0.9065,0.6414,0.9297
"050US51700","51700",51700,48.2,0.6739,0.686,0.9154,0.9179,0.8406
"050US51710","51710",51710,62.6,0.8451,0.4203,0.9084,0.9246,0.8594
"050US51720","51720",51720,374.9,0.8549,0.6328,0.0757,0.8307,0.769
"050US51730","51730",51730,38.4,0.9701,0.9389,0.9885,0.79,0.9733
"050US51735","51735",51735,4.7,0.001,0.2386,0.3016,0.0048,0.0038
"050US51740","51740",51740,46.2,0.804,0.6039,0.937,0.7766,0.8355
"050US51750","51750",51750,40.2,0.735,0.0032,0.4779,0.5243,0.3408
"050US51760","51760",51760,57.3,0.8575,0.3016,0.9109,0.8823,0.8333
"050US51770","51770",51770,79.1,0.8718,0.6624,0.8088,0.7639,0.8521
"050US51775","51775",51775,379.3,0.2253,0.083,0.4613,0.8046,0.3248
"050US51790","51790",51790,42.1,0.5262,0.468,0.5317,0.748,0.6048
"050US51800","51800",51800,41.1,0.4715,0.4553,0.882,0.2806,0.4788
"050US51810","51810",51810,31.1,0.2743,0.3465,0.7843,0.2377,0.307
"050US51820","51820",51820,36.8,0.7735,0.9042,0.6332,0.4069,0.7601
"050US51830","51830",51830,0,0.4846,0.0188,0.6962,0.6398,0.3802
"050US51840","51840",51840,217.5,0.8689,0.791,0.7366,0.9135,0.9033
"050US53001","53001",53001,13.7,0.9835,0.7467,0.9526,0.9621,0.98
"050US53003","53003",53003,64.4,0.5743,0.5807,0.3535,0.1826,0.4283
"050US53005","53005",53005,60.3,0.4232,0.8441,0.6993,0.6157,0.6405
"050US53007","53007",53007,54.7,0.5068,0.9542,0.7098,0.8129,0.7999
"050US53009","53009",53009,39.1,0.4753,0.6128,0.5161,0.6799,0.5861
"050US53011","53011",53011,36.7,0.3264,0.5037,0.6013,0.448,0.4257
"050US53013","53013",53013,69.7,0.2549,0.9275,0.5005,0.1063,0.3576
"050US53015","53015",53015,35.2,0.5288,0.8514,0.504,0.7426,0.7124
"050US53017","53017",53017,23.7,0.4909,0.9911,0.7668,0.6939,0.8116
"050US53019","53019",53019,34.4,0.6443,0.5905,0.6481,0.749,0.7159
"050US53021","53021",53021,11.6,0.8909,0.8715,0.9243,0.7833,0.9147
"050US53023","53023",53023,51.7,0.1702,0.6007,0.328,0.2685,0.2456
"050US53025","53025",53025,26.8,0.8323,0.889,0.8657,0.9271,0.931
"050US53027","53027",53027,30.9,0.6694,0.8409,0.5654,0.8988,0.8215
"050US53029","53029",53029,14.3,0.2498,0.322,0.5679,0.3945,0.3032
"050US53031","53031",53031,36.3,0.4063,0.2946,0.4085,0.3974,0.3643
"050US53033","53033",53033,33.8,0.1938,0.0496,0.8199,0.8816,0.3761
"050US53035","53035",53035,36.2,0.195,0.2514,0.6128,0.6236,0.3334
"050US53037","53037",53037,19.8,0.5132,0.013,0.5202,0.6265,0.3366
"050US53039","53039",53039,27.7,0.6389,0.7178,0.525,0.4995,0.6414
"050US53041","53041",53041,37.3,0.608,0.7887,0.5081,0.6739,0.7028
"050US53043","53043",53043,48.9,0.1489,0.6131,0.3058,0.2132,0.2113
"050US53045","53045",53045,14.7,0.4776,0.7162,0.5679,0.525,0.573
"050US53047","53047",53047,40.4,0.8836,0.9889,0.7502,0.7595,0.9453
"050US53049","53049",53049,30.3,0.3923,0.9096,0.5371,0.8221,0.7038
"050US53051","53051",53051,63.8,0.447,0.4235,0.4314,0.4279,0.4314
"050US53053","53053",53053,37.2,0.3452,0.4744,0.7391,0.735,0.5434
"050US53055","53055",53055,23,0.2424,0.092,0.3723,0.2179,0.1527
"050US53057","53057",53057,52.4,0.4642,0.7426,0.6402,0.5619,0.5982
"050US53059","53059",53059,2.2,0.2619,0.1432,0.5011,0.3252,0.2345
"050US53061","53061",53061,25.9,0.2428,0.1919,0.7178,0.5832,0.3557
"050US53063","53063",53063,53.8,0.4181,0.419,0.4871,0.8457,0.5638
"050US53065","53065",53065,44.9,0.4613,0.5873,0.4248,0.4018,0.4652
"050US53067","53067",53067,42.7,0.3026,0.3443,0.6424,0.5024,0.3939
"050US53069","53069",53069,3.6,0.3538,0.1514,0.4839,0.1301,0.2039
"050US53071","53071",53071,41.8,0.6755,0.7416,0.6634,0.8858,0.8078
"050US53073","53073",53073,37.3,0.4203,0.1104,0.5778,0.8667,0.5002
"050US53075","53075",53075,35.8,0.6239,0.0099,0.5953,0.9154,0.5186
