"HEROP_ID","ZCTA5","OtpMinDis","OtpTmDr","OtpCntDr"
"860US32097","32097",8.06,24.58,1
"860US30513","30513",15.74,31.72,0
"860US31318","31318",16.43,28.86,1
"860US31780","31780",35.71,58.46,0
"860US30326","30326",5.37,11.07,9
"860US30293","30293",27.2,48.02,0
"860US96786","96786",20.07,26.86,2
"860US83244","83244",221.07,NA,0
"860US83544","83544",145.09,NA,0
"860US83218","83218",148.42,NA,0
"860US83467","83467",183,NA,0
"860US62089","62089",46.07,71.86,0
"860US61243","61243",62.14,78.75,0
"860US62987","62987",22.02,40.46,0
"860US60171","60171",2.41,3.69,32
"860US60643","60643",1.4,6.42,38
"860US62865","62865",23.32,39.53,0
"860US61936","61936",16.04,22.93,1
"860US61039","61039",31.33,39.76,0
"860US47457","47457",30.9,39.5,0
"860US47337","47337",37.96,36.1,0
"860US46183","46183",7.45,21.24,4
"860US46068","46068",33.92,48.23,0
"860US47836","47836",23.04,48.78,0
"860US47683","47683",29.75,37.89,0
"860US47969","47969",29.81,48.15,0
"860US52060","52060",34.08,48.36,0
"860US51244","51244",63.97,95.1,0
"860US50603","50603",82.2,107.7,0
"860US52647","52647",73.23,72.71,0
"860US51036","51036",67.76,91.37,0
"860US66216","66216",9.4,15.85,5
"860US66728","66728",17.07,32.78,0
"860US67520","67520",149.51,NA,0
"860US40380","40380",34.46,71.64,0
"860US42431","42431",43.03,40.67,0
"860US41260","41260",3.43,10.32,1
"860US40404","40404",0.9,3.62,2
"860US42210","42210",20.91,39.79,0
"860US42411","42411",48.62,59.33,0
"860US40049","40049",34.94,57.62,0
"860US70549","70549",29.02,61.63,0
"860US70582","70582",13.61,23.64,1
"860US95441","95441",26.76,26.76,2
"860US94574","94574",23.81,44.72,0
"860US90621","90621",3.77,6.4,25
"860US95485","95485",68.28,99.43,0
"860US93664","93664",46.96,72.47,0
"860US37338","37338",31.14,50.15,0
"860US37374","37374",23.94,42.23,0
"860US76597","76597",38.88,56.95,0
"860US37132","37132",32.27,49.95,0
"860US37246","37246",1.42,8.83,2
"860US75752","75752",35.19,42.23,0
"860US78076","78076",52.81,68.57,0
"860US79781","79781",109.18,NA,0
"860US78653","78653",11.61,18.24,3
"860US77880","77880",25.26,48.91,0
"860US75779","75779",18.18,26.28,1
"860US78014","78014",68.04,76.68,0
"860US76305","76305",10.46,13.29,1
"860US75652","75652",27.13,40.48,0
"860US77575","77575",38.1,47.02,0
"860US76801","76801",73.82,95.2,0
"860US78058","78058",88.39,103.33,0
"860US76877","76877",83.89,109.8,0
"860US78881","78881",62.32,65.14,0
"860US75844","75844",38.97,67.51,0
"860US77954","77954",30.36,34.11,0
"860US78620","78620",23.16,36.18,0
"860US79731","79731",35.48,41.29,0
"860US76148","76148",4.42,10.07,9
"860US75929","75929",39.79,61.38,0
"860US75831","75831",66.81,90.84,0
"860US79081","79081",97.87,140.07,0
"860US76676","76676",29.53,42.21,0
"860US24153","24153",8.94,14.62,1
"860US84648","84648",51.27,44.6,0
"860US84751","84751",126.74,NA,0
"860US05056","05056",19.06,44.8,0
"860US05079","05079",29.32,47.54,0
"860US05405","05405",1.9,6.86,1
"860US22514","22514",30.16,52.2,0
"860US24483","24483",31.4,61.38,0
"860US24013","24013",5.2,11.44,1
"860US22845","22845",33.81,56.15,0
"860US17885","17885",35.23,62.61,0
"860US98045","98045",41.03,33.94,0
"860US99203","99203",3.93,11.1,2
"860US26562","26562",33.91,71.02,0
"860US26763","26763",18.82,33.95,0
"860US15027","15027",4.22,13.28,3
"860US54143","54143",61.09,63.82,0
"860US97838","97838",37.9,36.75,0
"860US36766","36766",69.69,101.66,0
"860US35650","35650",36.04,42.96,0
"860US36784","36784",71.55,115.21,0
"860US35579","35579",20.63,59.4,0
"860US36268","36268",12.3,15.87,1
"860US99833","99833",1178.56,NA,0
"860US99701","99701",420.06,NA,0
"860US99654","99654",34.56,NA,0
"860US86520","86520",131.56,NA,0
"860US86326","86326",23.35,66.82,0
"860US85924","85924",38.13,76.82,0
"860US29670","29670",8.67,23.92,2
"860US57346","57346",204.07,NA,0
"860US37324","37324",34.69,60.13,0
"860US57236","57236",149.8,NA,0
"860US37377","37377",15.91,24.59,1
"860US37315","37315",12.08,28.06,5
"860US37725","37725",12.73,24.8,1
"860US38029","38029",6.64,10.47,4
"860US38047","38047",9.26,15.31,1
"860US37770","37770",52.54,65.82,0
"860US70772","70772",29.12,31.37,0
"860US70128","70128",11.93,18.25,1
"860US70648","70648",32.31,42.46,0
"860US04450","04450",14.81,18.48,3
"860US04472","04472",22.53,44.32,0
"860US33432","33432",1.95,9.16,9
"860US83823","83823",105.2,153.31,0
"860US46327","46327",5.52,7.94,28
"860US61112","61112",3.61,5.65,1
"860US04851","04851",29.31,139.45,0
"860US60958","60958",19.02,36.24,0
"860US46799","46799",20.69,27.23,1
"860US20818","20818",8.16,12.11,7
"860US50314","50314",0.48,0,4
"860US70517","70517",5.13,0,1
"860US40383","40383",16.12,21.03,3
"860US49878","49878",164.68,NA,0
"860US04739","04739",206.82,NA,0
"860US38844","38844",29.6,57.55,0
"860US63775","63775",43.43,46.52,0
"860US01340","01340",10.9,23.68,3
"860US49248","49248",26.41,47.5,0
"860US02343","02343",4.29,7.94,17
"860US49780","49780",117.17,NA,0
"860US07720","07720",2.01,8.27,7
"860US87830","87830",98.69,NA,0
"860US49722","49722",40.15,59.76,0
"860US27053","27053",32.87,54.96,0
"860US65802","65802",3.38,6.89,2
"860US65742","65742",14.97,22.21,2
"860US58801","58801",169.87,NA,0
"860US07079","07079",1.69,5.26,33
"860US07870","07870",24.61,33.37,0
"860US03447","03447",14.92,24.17,2
"860US07723","07723",3.91,12.69,6
"860US02873","02873",16.13,26.15,2
"860US57754","57754",329.44,NA,0
"860US10605","10605",9.05,14.38,18
"860US37738","37738",19.25,47.3,0
"860US11207","11207",0.62,0,77
"860US37620","37620",30.11,36.73,0
"860US79346","79346",67.29,79.53,0
"860US75488","75488",39.05,71.52,0
"860US05488","05488",12.29,13.66,1
"860US57641","57641",100.38,147.59,0
"860US24605","24605",33.4,35.5,0
"860US23310","23310",36.41,53.72,0
"860US24426","24426",41.08,87.47,0
"860US98422","98422",7.24,17.68,6
"860US99114","99114",105.04,118.87,0
"860US25514","25514",28.45,49.02,0
"860US28533","28533",17.81,31.22,0
"860US28032","28032",4.62,11.65,4
"860US45142","45142",21.51,34.86,0
"860US58368","58368",86.78,84.95,0
"860US58622","58622",171.85,NA,0
"860US58007","58007",47.32,69.17,0
"860US43467","43467",34.6,45.8,0
"860US43008","43008",10.25,18.72,2
"860US44615","44615",30.45,45.39,0
"860US45745","45745",33.67,55.9,0
"860US44682","44682",36.44,47.57,0
"860US44507","44507",4.53,6.3,6
"860US43142","43142",21.77,31.23,0
"860US43736","43736",45.03,44.14,0
"860US43750","43750",33.44,46.49,0
"860US44011","44011",7.41,18.08,4
"860US74016","74016",41.09,56.73,0
"860US74003","74003",6.08,0,1
"860US74464","74464",55.36,79.26,0
"860US73441","73441",29.74,59.16,0
"860US97525","97525",17.08,21.7,3
"860US97064","97064",34.74,64.15,0
"860US97355","97355",41.66,50.11,0
"860US97434","97434",40.14,57.54,0
"860US16617","16617",14.04,14.9,2
"860US97886","97886",41.64,46.78,0
"860US16340","16340",18.08,28.16,1
"860US17097","17097",26.7,54.05,0
"860US15557","15557",30.65,48.4,0
"860US15420","15420",10.75,19.12,4
"860US16652","16652",15.17,36.23,0
"860US19559","19559",5.92,9.53,3
"860US18430","18430",30.86,47.19,0
"860US15301","15301",1.99,0,2
"860US17965","17965",23.38,34.29,0
"860US15901","15901",6.46,8.66,1
"860US17829","17829",24.28,41.71,0
"860US19564","19564",16.93,25.66,1
"860US15077","15077",12.24,15.5,2
"860US17920","17920",27.44,47.25,0
"860US17822","17822",18.48,30.53,0
"860US19107","19107",0.18,0,34
"860US02876","02876",7.52,12.64,16
"860US29646","29646",4.53,0,1
"860US29003","29003",58.71,73.67,0
"860US29014","29014",32.55,53.92,0
"860US29135","29135",27.8,43.29,0
"860US10456","10456",0.35,0,81
"860US13343","13343",47.46,62.88,0
"860US14456","14456",49.56,61.39,0
"860US11417","11417",2.66,7.24,74
"860US13440","13440",0.17,0,3
"860US13856","13856",52.16,86.92,0
"860US11104","11104",2.38,5.49,87
"860US10024","10024",1.66,4.93,89
"860US12456","12456",8.5,20.96,2
"860US10535","10535",9.15,11.63,3
"860US11212","11212",0.32,0,67
"860US11694","11694",7.65,15.03,27
"860US11415","11415",0.92,3.7,77
"860US28777","28777",20.29,34.85,0
"860US27827","27827",9.6,14.53,3
"860US27891","27891",13.3,23.49,1
"860US28465","28465",19.14,41.24,0
"860US38053","38053",14.27,23.43,2
"860US37727","37727",16.33,25.65,1
"860US11209","11209",3.23,7.46,61
"860US37148","37148",36.96,47.88,0
"860US10703","10703",2.03,0,51
"860US79714","79714",45.43,41.79,0
"860US75551","75551",27.98,36.2,0
"860US78851","78851",151.58,NA,0
"860US28607","28607",1.28,0,2
"860US58239","58239",192.57,NA,0
"860US98244","98244",46.29,35.14,0
"860US99141","99141",122.05,NA,0
"860US26836","26836",51.56,86.52,0
"860US86054","86054",146.51,NA,0
"860US82835","82835",180.69,NA,0
"860US35654","35654",22.82,36.29,0
"860US35242","35242",12.55,18.2,4
"860US02139","02139",1.15,0,19
"860US63853","63853",34.15,48.21,0
"860US70139","70139",1.36,6.27,2
"860US47654","47654",27.17,34.87,0
"860US50673","50673",91.8,NA,0
"860US02180","02180",2.6,6.92,24
"860US04952","04952",30.19,39.7,0
"860US01199","01199",0.74,1.19,12
"860US92662","92662",4.12,9.4,4
"860US99174","99174",66.8,66.22,0
"860US24577","24577",41.13,69.32,0
"860US07662","07662",4.65,6.36,69
"860US88028","88028",74.57,125.11,0
"860US11360","11360",3.27,9.87,72
"860US14854","14854",9.88,15.13,1
"860US87025","87025",40.37,78.89,0
"860US16253","16253",34,59.18,0
"860US84329","84329",110.65,NA,0
"860US15715","15715",33.84,48.64,0
"860US38562","38562",69.63,102.48,0
"860US04068","04068",44.67,66.19,0
"860US04750","04750",181.71,NA,0
"860US03579","03579",80.78,133.89,0
"860US50272","50272",22.32,35.19,0
"860US21871","21871",13.76,18.58,1
"860US46814","46814",11.81,17.74,2
"860US02647","02647",8.36,14.21,1
"860US48081","48081",3.41,6.28,16
"860US04654","04654",43.87,76.59,0
"860US55605","55605",200.06,NA,0
"860US20812","20812",8.37,13.54,8
"860US59917","59917",83.93,106.03,0
"860US59761","59761",125.46,NA,0
"860US59313","59313",244.55,NA,0
"860US59724","59724",151.9,NA,0
"860US03832","03832",53.79,97.82,0
"860US08751","08751",4.13,12.22,4
"860US07756","07756",2.3,9.74,6
"860US88256","88256",106.27,NA,0
"860US48440","48440",23.9,45.89,0
"860US13064","13064",18.04,30.06,0
"860US55041","55041",34.7,45.41,0
"860US27983","27983",26.14,35.1,0
"860US45898","45898",43.25,47.92,0
"860US73560","73560",72.26,92.76,0
"860US73932","73932",159.59,NA,0
"860US07846","07846",15.75,15.66,1
"860US29720","29720",23.6,32.91,0
"860US29512","29512",33.26,47.08,0
"860US20762","20762",9.37,20.6,4
"860US01532","01532",3.68,9.4,12
"860US01719","01719",16.77,27.32,2
"860US48322","48322",9.23,17.28,7
"860US48014","48014",18.65,35.79,0
"860US48614","48614",31.1,62.81,0
"860US48034","48034",7.48,12.37,19
"860US49938","49938",138.45,NA,0
"860US49879","49879",177.44,NA,0
"860US56470","56470",93.39,121.75,0
"860US56162","56162",134.98,NA,0
"860US56082","56082",69.59,77.12,0
"860US55723","55723",119.9,NA,0
"860US55055","55055",7.33,10.26,9
"860US56676","56676",131.94,NA,0
"860US56369","56369",14.45,18.47,1
"860US38632","38632",16.77,24.54,3
"860US39116","39116",54.39,80.67,0
"860US39090","39090",66.16,90.78,0
"860US39094","39094",36.73,55.38,0
"860US39633","39633",74.34,111.3,0
"860US63650","63650",75,105.46,0
"860US65706","65706",30.66,30.96,0
"860US65041","65041",65.32,89.07,0
"860US63041","63041",50.69,71.74,0
"860US64109","64109",1.6,6,6
"860US63084","63084",46.52,65.72,0
"860US63117","63117",7.09,11.91,5
"860US65254","65254",42.57,60.83,0
"860US59101","59101",19.01,11.43,1
"860US59405","59405",151.93,NA,0
"860US59032","59032",127.43,NA,0
"860US68844","68844",167.47,NA,0
"860US69163","69163",279.17,NA,0
"860US68068","68068",19.37,30.04,0
"860US69357","69357",162.82,NA,0
"860US89143","89143",8.92,15.22,5
"860US03835","03835",16.77,28.5,1
"860US03242","03242",20.64,28.84,1
"860US07031","07031",2.28,4.88,72
"860US08738","08738",5.72,12.19,6
"860US87499","87499",33.11,77.22,0
"860US87827","87827",97.31,160.12,0
"860US87325","87325",69.35,106.2,0
"860US87711","87711",68.86,95.86,0
"860US88355","88355",80.44,NA,0
"860US87053","87053",44.28,45.42,0
"860US11451","11451",1.15,3.48,76
"860US01029","01029",21.65,27.51,1
"860US48312","48312",1.77,0,12
"860US48667","48667",24.53,31.51,0
"860US48743","48743",79.64,115.24,0
"860US48066","48066",2.49,0,16
"860US55744","55744",103.01,103.01,0
"860US55786","55786",104.66,NA,0
"860US55075","55075",7.17,14.59,9
"860US56647","56647",140.88,NA,0
"860US55431","55431",5.37,9.6,7
"860US55155","55155",0.47,5.87,11
"860US39365","39365",34.99,60.62,0
"860US39439","39439",46.96,62.89,0
"860US39565","39565",20.43,32.76,0
"860US35545","35545",38.94,75.81,0
"860US36051","36051",11.82,36.91,0
"860US36471","36471",53.05,94.78,0
"860US36067","36067",24.37,36.36,0
"860US35446","35446",14.29,32.91,0
"860US35580","35580",16.62,41.22,0
"860US35034","35034",28.08,38.43,0
"860US35960","35960",29.95,39.74,0
"860US35254","35254",5.61,11.62,2
"860US99733","99733",291.23,NA,0
"860US36280","36280",33.18,53.18,0
"860US86556","86556",80.58,128.1,0
"860US85932","85932",60.77,75.81,0
"860US71646","71646",64.66,105.03,0
"860US36524","36524",65.29,108.19,0
"860US84536","84536",152.6,NA,0
