HEROP_ID,FIPS,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,CntBupT,CntMetT,CntNaltT,AvBupTime,AvMetTime,AvNaltTime,PctBupT,PctMetT,PctNaltT,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,OpRxRt,PrMsuseP,OdMortRt,OdMortRtAv,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,HcvD,MlHcvD,FlHcvD,U50HcvD,A50_74HcvD,O75HcvD,AmInHcvD,AsHcvD,NhPiHcvD,BlkHcvD,WhtHcvD,MulHcvD,HspHcvD,MdMarijLaw,AnyNalxDt,NalxPrStDt,NalxPresDt,AnyNalxFr,NalxPrStFr,NalxPresFr,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,PlcFyrExp,CrrctExp,HlthExp,WlfrExp,MedPolProp
040US24,24,1338,11.32,0.95,1392,1314,1386,4.75,12.85,8.12,0.99,0.93,0.99,1380,8.43,0.98,1384,7.37,0.98,1364,11.12,0.98,39.5,3.43,44.6,32.28,10/1/2009,10/1/2015,1.0,1.0,311,221,90.0,13.0,264.0,11.0,,,0.0,158.0,138.0,0.0,,1,10/1/2013,10/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5/10/2011,10/1/2011,12/1/2013,7/1/2018,10/1/2011,4431639,7516897,3407881,31320644,1.0
040US25,25,1460,8.92,0.99,1475,1398,1454,3.59,11.64,7.57,1.0,0.95,0.98,1461,6.78,0.99,1463,6.5,0.99,1449,8.09,0.98,33.3,3.56,33.9,29.84,8/2/2012,,1.0,0.0,205,137,68.0,,155.0,,0.0,,0.0,27.0,152.0,0.0,20.0,1,9/1/2012,7/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1992,12/1/1992,1/1/2011,12/5/2014,1/1/1994,3863039,7128821,3759781,52044784,1.0
040US26,26,2495,14.33,0.89,2614,1980,2446,9.83,25.44,15.86,0.93,0.7,0.87,2544,12.68,0.9,2546,12.16,0.91,2540,13.52,0.92,54.4,3.31,28.6,21.7,1/4/2017,,1.0,0.0,326,229,97.0,,281.0,10.0,,,0.0,101.0,199.0,,14.0,1,11/1/2014,4/1/2017,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1988,1/1/1990,1/1/2003,6/1/2018,1/3/2002,4448221,15895360,10758996,39590780,1.0
040US27,27,824,34.81,0.62,1138,799,989,13.05,31.47,22.62,0.85,0.6,0.74,1151,13.83,0.86,1159,12.88,0.87,1216,13.32,0.91,30.2,2.92,19.0,12.28,7/1/2014,,1.0,0.0,220,144,76.0,,180.0,,21.0,12.0,0.0,27.0,151.0,,,1,6/1/2014,6/1/2014,7/1/2020,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,7/1/2007,1/1/2009,4/1/2010,1/1/2021,7/1/2007,2980034,6486736,4224894,36919095,1.0
040US28,28,571,13.51,0.86,506,187,326,17.85,56.37,34.9,0.76,0.28,0.49,567,15.18,0.85,462,22.04,0.7,590,14.26,0.89,64.2,3.65,21.1,15.54,7/1/2015,7/1/2015,1.0,1.0,157,109,48.0,,112.0,,0.0,,0.0,32.0,123.0,,0.0,0,7/1/2015,7/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1/1/2005,6/1/2006,7/1/2008,,6/30/2006,1105664,5738188,4664254,13357488,0.0
040US29,29,1277,12.05,0.92,1195,799,1195,13.27,34.64,14.98,0.86,0.57,0.86,1185,14.65,0.85,1246,12.95,0.89,1213,14.29,0.87,54.4,3.27,32.1,20.8,8/28/2017,8/28/2017,1.0,1.0,200,139,61.0,10.0,174.0,,,,,34.0,155.0,,,1,9/1/2016,9/1/2016,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,7/1/2017,,,,3371844,9178832,7235940,21082697,0.0
040US30,30,191,27.71,0.7,181,83,142,28.08,51.95,45.36,0.67,0.31,0.52,184,28.61,0.68,197,23.43,0.73,208,20.58,0.77,46.1,3.43,15.6,11.74,5/3/2017,5/3/2017,1.0,1.0,80,60,20.0,,58.0,,16.0,0.0,0.0,0.0,55.0,,,1,5/1/2017,5/1/2017,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7/1/2011,7/1/2011,10/1/2012,,7/1/2011,518512,1130101,579559,4955325,1.0
040US31,31,363,24.3,0.68,411,279,360,18.15,27.92,25.97,0.77,0.52,0.68,462,12.45,0.87,459,13.91,0.86,505,9.71,0.95,48.0,3.06,11.3,10.26,8/24/2017,8/24/2017,1.0,1.0,63,49,14.0,,37.0,,,,0.0,,50.0,0.0,,0,6/1/2015,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4/14/2011,8/1/2011,1/1/2017,,8/27/2011,886484,2390476,1188390,6130118,0.25
040US32,32,625,15.98,0.91,655,597,631,8.13,16.51,13.3,0.95,0.87,0.92,649,10.92,0.94,651,11.22,0.95,651,10.94,0.95,47.4,3.87,26.0,23.92,10/1/2015,10/1/2015,1.0,1.0,115,75,40.0,,96.0,10.0,0.0,,0.0,16.0,74.0,,14.0,1,10/1/2015,10/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6/29/1995,1/1/1996,2/1/2011,10/1/2015,10/1/1995,2102948,3403316,1675482,9583987,1.0
040US33,33,230,18.86,0.78,283,168,244,8.39,31.05,18.16,0.96,0.57,0.83,266,14.8,0.9,276,12.73,0.94,266,14.68,0.9,35.2,3.12,30.3,35.08,9/6/2015,9/6/2015,1.0,1.0,38,30,,,,,0.0,0.0,0.0,0.0,35.0,,,1,6/1/2015,6/1/2015,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6/12/2012,6/1/2012,10/1/2014,1/21/2016,6/12/2012,747441,667260,223974,5288652,1.0
040US34,34,1996,8.84,0.99,2008,1929,2002,3.62,12.1,6.64,1.0,0.96,1.0,1993,6.82,0.99,2004,6.05,1.0,2000,8.12,1.0,31.8,3.24,32.1,25.58,5/2/2013,5/2/2013,1.0,1.0,252,185,67.0,,205.0,26.0,0.0,,0.0,84.0,128.0,0.0,37.0,1,7/1/2013,7/1/2013,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/4/2008,8/1/2009,1/1/2012,11/1/2015,8/1/2010,5034122,9294494,4991226,40770115,1.0
040US35,35,459,10.25,0.92,448,289,331,9.86,31.31,31.47,0.9,0.58,0.66,401,18.6,0.8,438,13.82,0.88,417,16.85,0.84,40.5,3.86,39.0,24.78,6/15/2007,7/1/2019,1.0,1.0,185,129,56.0,,143.0,,19.0,,0.0,,59.0,,99.0,1,4/1/2001,4/1/2016,4/1/2014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7/15/2004,7/1/2004,8/1/2005,9/28/2012,7/15/2004,1072987,3907392,2250894,14880590,1.0
040US36,36,4670,8.28,0.95,4842,4250,4740,4.18,15.44,7.63,0.98,0.86,0.96,4753,7.32,0.96,4743,7.27,0.96,4731,8.58,0.96,31.9,3.27,25.4,18.32,9/18/2011,,1.0,0.0,567,395,172.0,12.0,446.0,89.0,,11.0,0.0,169.0,239.0,,121.0,1,4/1/2006,7/1/2014,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1/1/1972,1/1/1990,6/1/2013,8/27/2013,1/1/1998,15224565,39833728,26814820,170205898,1.0
