HEROP_ID,FIPS,ParkArea,HcvD,MlHcvD,FlHcvD,U50HcvD,A50_74HcvD,O75HcvD,AmInHcvD,AsHcvD,NhPiHcvD,BlkHcvD,WhtHcvD,MulHcvD,HspHcvD,AvHcvD,AvMlHcvD,AvFlHcvD,AvU50HcvD,AvA50_74HcvD,AvO75HcvD,AvAmInHcvD,AvAsHcvD,AvNhPiHcvD,AvBlkHcvD,AvWhHcvD,AvMulHcvD,AvHspHcvD,MdMarijLaw,AnyNalxDt,NalxPrStDt,NalxPresDt,AnyNalxFr,NalxPrStFr,NalxPresFr,OdMortRt,OpRxRt,PrMsuseP,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,PlcFyrExp,CrrctExp,HlthExp,WlfrExp,TtlJlPpr,TtlJlAdmr,TtlJlPrtr,TtlJlPp,TtlJlAdm,TtlJlPrt,TtlPrPpr,TtlPrAPpr,TtlPrPp,TtlPrAPp,MedPolProp
040US24,24,5332753373.0,275,178,97.0,10.0,220.0,21.0,0.0,,0.0,133.0,134.0,,,289,203,87.0,7.0,244.0,8.0,0.0,,0.0,152.0,127.0,,,1,10/1/2013,10/1/2015,,1.0,1.0,0.0,41.7,34.8,3.57,1.0,1.0,1.0,1.0,1.0,5/10/2011,10/1/2011,12/1/2013,7/1/2018,10/1/2011,4909921,8112365,3751691,19787069,206.58,1422.76,154.9,8288.0,57080.5,6214.64,389.76,128.84,15637,5169.0,1
040US25,25,4575571460.0,184,126,58.0,,141.0,14.0,0.0,,0.0,17.0,128.0,,34.0,196,139,58.0,3.0,153.0,2.0,,,0.0,23.0,137.0,,29.0,1,9/1/2012,7/1/2014,,1.0,1.0,0.0,37.8,30.8,2.73,1.0,1.0,1.0,1.0,1.0,1/1/1992,12/1/1992,1/1/2011,12/5/2014,1/1/1994,4245476,7661498,4390244,32266010,144.93,834.06,101.07,6711.0,38622.5,4679.99,129.59,33.34,6001,1544.0,1
040US26,26,26110560734.0,299,206,93.0,,238.0,21.0,,,0.0,95.0,173.0,,16.0,338,236,103.0,1.0,287.0,15.0,,,0.0,103.0,206.0,,15.0,1,11/1/2014,4/1/2017,,1.0,1.0,0.0,29.9,50.3,2.64,1.0,1.0,1.0,1.0,1.0,1/1/1988,1/1/1990,1/1/2003,6/1/2018,1/3/2002,4302366,16647475,11578389,22787874,204.1,3104.49,146.21,13121.37,199584.25,9399.87,503.57,126.48,32374,8131.0,1
040US27,27,22287826772.0,205,152,53.0,,159.0,11.0,18.0,11.0,0.0,37.0,126.0,,,209,144,65.0,,167.0,4.0,17.0,9.0,0.0,37.0,132.0,,3.0,1,6/1/2014,6/1/2014,7/1/2020,1.0,1.0,1.0,24.2,27.8,2.57,1.0,1.0,1.0,1.0,1.0,7/1/2007,1/1/2009,4/1/2010,1/1/2021,7/1/2007,3200650,7076124,4682712,21874613,137.4,4477.98,106.76,5023.62,163718.49,3903.29,236.21,135.88,8636,4968.0,1
040US28,28,1813837282.0,149,114,35.0,,116.0,,,,0.0,41.0,106.0,0.0,0.0,149,101,48.0,,118.0,,0.0,,0.0,38.0,107.0,,,1,7/1/2015,7/1/2015,,1.0,1.0,0.0,25.8,64.0,3.66,1.0,1.0,1.0,0.0,1.0,1/1/2005,6/1/2006,7/1/2008,,6/30/2006,1165973,6292046,5288100,6980494,690.42,6442.58,315.88,12980.11,121122.63,5938.69,1053.28,373.77,19802,7027.0,0
040US29,29,13221052702.0,153,97,56.0,,110.0,10.0,0.0,,0.0,27.0,110.0,,,197,137,60.0,4.0,163.0,1.0,0.0,,0.0,40.0,147.0,,,1,9/1/2016,9/1/2016,,1.0,1.0,0.0,35.5,49.4,3.71,1.0,1.0,0.0,0.0,0.0,8/28/2021,7/1/2017,,,,3227721,10609704,8744584,12422350,286.92,5533.05,234.6,11312.54,218155.85,9249.92,606.45,292.1,23911,11517.0,1
040US30,30,57079006095.0,69,48,21.0,,41.0,,14.0,0.0,0.0,0.0,48.0,,,68,47,20.0,,43.0,,16.0,0.0,0.0,0.0,47.0,,,1,5/1/2017,5/1/2017,,1.0,1.0,0.0,18.5,41.9,2.64,1.0,1.0,1.0,1.0,1.0,7/1/2011,7/1/2011,10/1/2012,7/1/2021,7/1/2011,590358,1236606,678860,3010089,432.73,5865.91,236.9,3055.16,41414.08,1672.56,664.44,292.06,4691,2062.0,1
040US31,31,1127101647.0,62,43,19.0,,44.0,,,,0.0,11.0,44.0,0.0,,66,44,21.0,,45.0,,,,0.0,6.0,50.0,0.0,,0,6/1/2015,,,1.0,0.0,0.0,11.4,44.5,2.59,1.0,1.0,1.0,0.0,1.0,4/14/2011,8/1/2011,1/1/2017,,8/27/2011,940254,2638860,1316990,4460498,290.74,4740.61,218.14,3609.6,58856.1,2708.24,455.0,170.11,5649,2112.0,1
040US32,32,65536653819.0,135,101,34.0,,101.0,11.0,,,0.0,21.0,92.0,0.0,18.0,129,93,36.0,,104.0,6.0,,,0.0,15.0,88.0,,18.0,1,10/1/2015,10/1/2015,,1.0,1.0,0.0,31.6,41.5,4.24,1.0,1.0,1.0,1.0,1.0,6/29/1995,1/1/1996,2/1/2011,10/1/2015,10/1/1995,2313396,4024586,2141742,5512870,294.37,5402.09,193.57,6106.54,112064.6,4015.46,496.71,216.92,10304,4500.0,1
040US33,33,5021643472.0,40,31,,,10.0,,0.0,0.0,0.0,,37.0,0.0,,44,33,4.0,,10.0,,0.0,0.0,0.0,,42.0,0.0,,1,6/1/2015,6/1/2015,,1.0,1.0,0.0,34.8,31.9,2.52,1.0,1.0,1.0,1.0,1.0,6/12/2012,6/1/2012,10/1/2014,1/21/2016,6/12/2012,800935,844784,348674,3468659,122.61,1860.11,102.89,1114.49,16907.36,935.23,229.5,96.71,2086,879.0,1
040US34,34,9065880980.0,213,141,72.0,,167.0,13.0,0.0,,0.0,69.0,116.0,,23.0,237,170,67.0,,191.0,15.0,0.0,,0.0,70.0,130.0,,31.0,1,7/1/2013,7/1/2013,,1.0,1.0,0.0,32.2,28.0,2.83,1.0,1.0,1.0,1.0,1.0,1/4/2008,8/1/2009,1/1/2012,11/1/2015,8/1/2010,5621927,10089854,5804512,26149820,192.54,1277.41,158.8,11580.81,76833.41,9551.2,210.43,90.56,12657,5447.0,1
040US35,35,44367288688.0,113,80,33.0,,92.0,,,,0.0,,39.0,0.0,62.0,159,119,40.0,1.0,131.0,,7.0,,0.0,,53.0,0.0,88.0,1,4/1/2001,4/1/2016,4/1/2014,1.0,1.0,1.0,48.5,35.6,3.7,1.0,1.0,1.0,1.0,1.0,7/15/2004,7/1/2004,8/1/2005,9/28/2012,7/15/2004,1214640,6359956,4692974,10049039,410.07,7034.36,402.68,5481.06,94021.34,5382.29,371.84,176.87,4970,2364.0,1
040US36,36,21409542506.0,487,360,127.0,10.0,394.0,59.0,,17.0,0.0,131.0,217.0,,103.0,552,384,168.0,14.0,437.0,79.0,,15.0,0.0,154.0,234.0,,126.0,1,4/1/2006,7/1/2014,,1.0,1.0,0.0,32.3,28.1,3.01,1.0,1.0,1.0,1.0,1.0,1/1/1972,1/1/1990,6/1/2013,8/27/2013,1/1/1998,15377414,43422356,30606624,94182819,119.76,806.08,100.62,15354.0,103341.25,12900.4,242.96,79.68,31148,10215.0,1
040US37,37,12619357994.0,349,254,95.0,14.0,285.0,16.0,,,0.0,120.0,217.0,,,379,275,105.0,16.0,326.0,5.0,1.0,,0.0,114.0,246.0,,,0,5/1/2013,5/1/2013,,1.0,1.0,0.0,40.3,49.0,2.9,1.0,1.0,1.0,1.0,1.0,8/13/2005,1/1/2006,7/1/2007,6/29/2017,1/1/2006,5406512,24060628,19133390,24712854,264.62,4758.91,235.01,18408.0,331054.0,16348.55,425.89,205.45,29627,14292.0,0
040US38,38,1929557705.0,36,20,16.0,,,,10.0,0.0,0.0,,22.0,,,26,17,0.0,,,,1.0,0.0,0.0,0.0,19.0,,,1,8/1/2015,8/1/2015,4/1/2016,1.0,1.0,1.0,19.0,34.0,2.94,1.0,1.0,1.0,1.0,1.0,12/1/2005,12/1/2006,10/1/2008,1/1/2018,4/5/2007,400343,829199,433421,2029821,260.68,7276.7,155.16,1293.64,36110.64,769.99,366.15,279.7,1817,1388.0,1
040US39,39,6856822850.0,382,266,116.0,53.0,308.0,,,,0.0,94.0,272.0,0.0,10.0,439,319,120.0,47.0,355.0,13.0,,,0.0,120.0,301.0,0.0,15.0,1,4/1/2014,8/1/2015,,1.0,1.0,0.0,43.8,42.9,3.32,1.0,1.0,1.0,1.0,1.0,5/18/2005,5/1/2005,10/1/2006,4/15/2015,5/18/2005,6611489,16112799,11414061,39173323,227.68,4277.0,160.43,17055.45,320387.02,12017.51,604.91,236.66,45313,17728.0,1
040US40,40,2251849572.0,558,373,185.0,48.0,457.0,38.0,57.0,,0.0,55.0,403.0,21.0,17.0,536,373,163.0,34.0,453.0,22.0,58.0,,0.0,44.0,388.0,18.0,21.0,1,11/1/2013,,11/1/2017,1.0,0.0,1.0,29.8,55.5,3.82,1.0,1.0,1.0,1.0,1.0,5/15/1990,1/1/1991,7/1/2006,11/1/2015,5/15/1990,1863054,4640352,3190656,9388341,415.96,7314.7,272.2,10702.74,188207.24,7003.58,891.6,239.02,22941,6150.0,1
040US41,41,76195381586.0,406,287,119.0,,342.0,38.0,15.0,,,11.0,339.0,,21.0,440,310,131.0,11.0,380.0,20.0,10.0,2.0,,15.0,376.0,2.0,18.0,1,7/1/2013,,7/1/2013,1.0,0.0,1.0,32.1,42.1,3.82,1.0,1.0,1.0,0.0,1.0,7/23/2009,7/1/2009,9/1/2011,,7/23/2009,2762314,10447560,6986398,17301202,168.16,4638.47,109.79,4607.25,127086.5,3008.04,456.89,252.1,12518,6907.0,1
040US42,42,30620732417.0,404,297,107.0,27.0,328.0,24.0,,,0.0,97.0,268.0,0.0,33.0,432,318,114.0,25.0,357.0,22.0,0.0,,0.0,97.0,292.0,0.0,36.0,1,12/1/2014,12/1/2014,,1.0,1.0,0.0,39.8,38.5,2.96,1.0,1.0,1.0,1.0,1.0,1/1/1972,1/1/1990,8/1/2016,6/30/2015,1/1/2002,6038600,21881954,13300000,45984436,330.45,1687.68,226.85,27360.93,139737.67,18783.24,457.86,159.33,37910,13192.0,1
040US44,44,1687788911.0,38,32,,,11.0,,0.0,,0.0,,31.0,0.0,,58,43,12.0,,33.0,,0.0,,0.0,,46.0,0.0,,1,7/1/2012,3/1/2014,,1.0,1.0,0.0,38.8,31.5,3.39,1.0,1.0,1.0,1.0,1.0,1/1/1978,1/1/1990,9/1/2012,6/28/2016,1/1/1997,939987,1458605,855589,4026121,143.56,66.44,105.97,1035.0,479.0,764.0,188.36,66.44,1358,479.0,1
040US45,45,2143223059.0,238,167,71.0,,203.0,,,0.0,0.0,69.0,162.0,,,243,173,70.0,4.0,212.0,,,,0.0,74.0,162.0,0.0,,0,6/1/2015,6/1/2015,6/1/2015,1.0,1.0,1.0,43.1,51.5,3.29,1.0,1.0,1.0,1.0,1.0,6/14/2006,6/1/2006,2/1/2008,5/19/2017,6/14/2006,2303167,13630820,11744060,10198157,334.25,4552.84,284.34,11224.63,152891.14,9548.44,485.92,143.62,16318,4823.0,0
040US46,46,4114642600.0,41,28,13.0,,10.0,,15.0,0.0,0.0,,24.0,0.0,,33,25,0.0,,6.0,,2.0,0.0,0.0,,24.0,0.0,0.0,1,7/1/2016,7/1/2016,,1.0,1.0,0.0,10.4,37.5,2.67,1.0,1.0,1.0,0.0,1.0,3/29/2010,3/1/2010,3/1/2012,,7/1/2010,369042,783784,316744,1731185,488.84,13170.73,364.4,2758.19,74312.67,2056.06,610.39,617.84,3444,3486.0,0
040US47,47,7280842805.0,438,310,128.0,50.0,353.0,19.0,0.0,,,68.0,362.0,,,482,342,139.0,66.0,381.0,17.0,,,0.0,82.0,389.0,,,0,7/1/2014,7/1/2014,,1.0,1.0,0.0,54.2,61.5,3.83,1.0,1.0,1.0,1.0,1.0,1/1/2003,1/1/2003,1/1/2010,4/1/2013,1/1/2003,3518466,9641517,7008289,14790979,564.92,7182.13,315.15,25792.0,327905.7,14388.47,519.87,213.55,23735,9750.0,0
040US48,48,6335798935.0,1201,848,353.0,61.0,1009.0,114.0,,16.0,,212.0,657.0,,311.0,1405,1019,386.0,86.0,1204.0,100.0,,17.0,0.0,253.0,734.0,,391.0,0,9/1/2015,9/1/2015,,1.0,1.0,0.0,18.3,33.9,3.15,1.0,1.0,1.0,1.0,1.0,1/1/1982,8/1/1981,8/1/2012,9/1/2017,1/1/1998,14673957,51603738,38099016,62641679,380.26,4285.27,304.49,75534.76,851213.5,60483.27,702.95,322.05,139631,63972.0,0
040US49,49,61627930302.0,44,26,18.0,,12.0,,0.0,0.0,0.0,,34.0,0.0,,64,43,20.0,,43.0,,0.0,0.0,0.0,,50.0,,2.0,1,6/1/2014,6/1/2016,,1.0,1.0,0.0,18.5,46.3,3.34,1.0,1.0,1.0,0.0,1.0,7/1/1995,7/1/1995,1/1/2006,,7/1/1995,1693512,6442975,5027979,7033499,288.71,3431.06,154.62,6390.28,75943.0,3422.45,271.48,162.69,6009,3601.0,1
040US50,50,9082890277.0,37,25,12.0,,,0.0,,0.0,0.0,,31.0,,,33,24,,,2.0,,0.0,0.0,0.0,,30.0,0.0,0.0,1,7/1/2013,7/1/2013,10/1/2020,1.0,1.0,1.0,42.7,30.1,2.83,1.0,1.0,1.0,1.0,1.0,7/1/2006,6/1/2008,1/1/2009,11/15/2013,7/1/2006,298620,863651,528775,2368917,131.68,197.52,122.28,546.0,819.0,507.0,196.32,197.52,814,819.0,1
040US51,51,16521679061.0,298,220,78.0,11.0,239.0,20.0,0.0,,0.0,86.0,201.0,,,282,203,80.0,11.0,233.0,15.0,,1.0,0.0,81.0,184.0,,,1,7/1/2013,5/1/2015,,1.0,1.0,0.0,28.7,34.1,2.68,1.0,1.0,1.0,1.0,1.0,4/1/2003,9/1/2003,6/1/2006,7/1/2015,4/1/2003,5121074,16466963,9938639,23747747,362.85,3899.26,227.05,20618.0,221563.42,12901.2,478.02,157.67,27162,8959.0,1
040US53,53,39296898972.0,430,293,137.0,,366.0,27.0,24.0,13.0,,22.0,312.0,16.0,33.0,452,314,138.0,8.0,393.0,21.0,19.0,14.0,,30.0,348.0,5.0,28.0,1,7/1/2010,8/1/2015,,1.0,1.0,0.0,35.0,36.2,2.83,1.0,1.0,1.0,1.0,1.0,7/22/2007,8/1/2011,1/1/2012,1/1/2019,7/22/2007,5064374,19991136,15622668,17340567,174.09,3191.72,113.62,8906.02,163283.66,5812.77,269.2,225.2,13772,11521.0,1
