HEROP_ID,OtpMinDis,OtpTmDr,OtpCntDr
140US01097001501,2.16,7.89,3
140US01097001800,3.18,7.33,3
140US01097002000,2.27,15.29,3
140US01097002100,1.95,5.79,3
140US01097002400,3.14,8.47,3
140US01097002600,3.66,9.91,3
140US01097003100,1.24,3.63,3
140US01097003301,0.86,5.05,3
140US01097003406,3.42,12.48,3
140US01097003408,5.23,13.53,3
140US01073002400,7.94,22.28,2
140US01073010001,8.23,19.82,2
140US01073010603,5.2,15.5,2
140US01073010705,2.98,15.54,2
140US01089002921,8.4,16.99,2
140US01089010501,10.17,19.1,3
140US01117030405,12.85,31.59,0
140US01109189300,40.69,68.99,0
140US01111000200,31.45,61.43,0
140US01079979200,23.57,31.91,0
140US01069041800,32.21,56.43,0
140US01031010700,33.73,52.11,0
140US01113031000,17.01,29.84,1
140US01043965700,14.22,33.51,0
140US01073005909,6.47,20.92,1
140US01045021200,13.56,21.03,1
140US01047956500,43.77,73.64,0
140US01047956800,45.71,77.67,0
140US01055010700,9.39,34.99,0
140US01055011001,12.29,28.01,1
140US01015002101,19.05,31.84,0
140US01097005700,22.3,33.92,0
140US01097006103,7.93,17.4,3
140US01127020200,2.58,10.25,1
140US01073014104,6.62,14.97,2
140US01073014409,5.21,21.39,3
140US01077011604,15.8,26.18,1
140US01033020703,3.0,9.59,1
140US01033020801,11.89,25.92,1
140US01001020802,23.0,40.9,0
140US01077010200,1.95,6.5,1
140US01041963800,64.8,90.79,0
140US01071950900,21.37,28.56,1
140US01043964300,6.61,18.98,1
140US01121011400,34.1,70.34,0
140US01121011900,35.36,71.22,0
140US01051030600,19.71,33.07,0
140US01089002000,1.88,4.95,3
140US01089002501,0.53,0.0,3
140US01001020200,20.55,35.28,0
140US01001020400,18.62,31.92,0
140US01079979600,30.89,45.01,0
140US01073010802,6.9,21.45,2
140US01073011001,6.97,21.54,1
140US01073011109,6.8,10.99,1
140US01073011111,9.35,13.82,1
140US01087231700,34.5,45.59,0
140US01041963400,39.52,76.11,0
140US01121010202,19.04,25.43,1
140US01089002722,6.46,14.4,2
140US01093964000,20.84,52.11,0
140US01099076000,42.22,75.35,0
140US01055010402,8.89,13.74,1
140US01073011704,8.06,17.57,1
140US01065040200,30.62,58.33,0
140US01073011904,7.52,19.99,1
140US01073012103,15.57,35.09,0
140US01057020000,26.1,47.78,0
140US01059973200,22.88,38.27,0
140US01059973400,34.32,71.89,0
140US01081041700,28.02,42.4,0
140US01127020800,8.7,23.02,1
140US01073005800,3.45,15.64,2
140US01073005905,4.95,16.77,1
140US01083020201,18.07,37.92,0
140US01051031200,12.84,36.52,0
140US01075030100,30.21,56.43,0
140US01077010100,2.91,7.23,1
140US01077011000,5.35,10.95,1
140US01077011300,27.88,52.15,0
140US01127020900,7.09,25.93,1
140US01001020100,21.7,37.79,0
140US01043964500,12.64,22.99,1
140US01073000500,9.5,20.13,2
140US01049960500,34.93,61.34,0
140US01125010406,7.56,18.18,1
140US01073014001,11.73,27.89,1
140US01001020600,19.93,33.39,0
140US01001020700,17.08,32.67,0
140US01073000800,8.47,22.32,4
140US01073002100,5.48,17.21,1
140US01073002303,7.43,20.49,2
140US01125010201,15.6,28.19,1
140US01089010623,6.62,18.16,3
140US01089010701,11.47,21.07,2
140US01089011012,4.13,11.21,3
140US01089011014,1.62,0.0,3
140US01115040205,23.72,49.46,0
140US01115040401,19.01,31.02,0
140US01041963900,53.19,72.49,0
140US01125012501,6.54,15.86,1
140US01125012502,3.75,11.14,1
140US01125012600,5.88,14.97,1
140US01127020100,6.52,13.22,1
140US01039962000,63.64,89.66,0
140US01071951000,14.6,40.63,0
140US01081042002,6.16,16.42,2
140US01083020101,13.58,33.19,0
140US01071950100,7.72,41.45,0
140US01097006105,11.47,20.31,3
140US01115040502,19.59,33.28,0
140US01117030217,10.88,34.81,0
140US01087231900,34.4,45.77,0
140US01089000501,3.2,10.49,3
140US01115040105,14.62,32.28,0
140US01083020401,25.45,39.81,0
140US01083020900,12.57,26.94,1
140US01103005600,17.5,41.16,0
140US01103005701,21.66,38.21,0
140US01113030600,4.5,10.51,2
140US01117030305,9.79,27.72,1
140US01117030320,5.21,20.23,1
140US01117030340,5.6,18.61,1
140US01089011300,14.34,35.83,0
140US01089000601,1.41,5.11,3
140US01089001401,5.11,13.78,3
140US01089001700,3.53,8.85,3
140US01077011501,8.24,17.76,1
140US01077011502,14.49,25.67,1
140US01095030600,33.0,54.62,0
140US01095030904,26.79,45.34,0
140US01097000702,5.27,14.62,3
140US01097000800,4.51,13.22,3
140US01097000901,5.08,11.72,3
140US01097000903,3.95,10.63,3
140US01097001100,4.74,10.56,3
140US01121010102,10.96,19.12,1
140US01125010701,9.61,18.98,1
140US01125010804,7.54,15.96,1
140US01125011701,3.75,11.07,1
140US01077011603,15.32,24.88,1
140US01097003703,3.82,11.39,3
140US01097003901,5.09,12.41,3
140US01053970600,11.48,31.05,0
140US01055000800,0.43,0.0,1
140US01055001300,2.56,4.74,1
140US01055010300,10.05,21.18,1
140US01003010300,22.55,46.11,0
140US01125012304,2.7,12.45,1
140US01125012404,1.17,9.4,1
140US01073012803,9.01,25.37,2
140US01073012915,3.72,18.58,1
140US01073013400,6.04,16.93,2
140US01017954300,30.24,45.53,0
140US01003010400,25.78,73.61,0
140US01003010703,17.41,31.54,0
140US01125011200,4.85,14.85,1
140US01003010800,13.46,28.64,1
140US01109188800,42.31,85.33,0
140US01035960200,53.9,81.6,0
140US01035960500,44.23,58.33,0
140US01039961600,61.88,105.34,0
140US01007010002,19.14,40.18,0
140US01005950200,55.64,100.9,0
140US01005950900,52.02,75.33,0
140US01127021100,22.16,33.72,0
140US01101000100,7.23,13.05,1
140US01101001300,7.21,15.54,1
140US01061050500,10.93,27.04,1
140US01065040000,17.23,26.08,1
140US01031010500,44.01,49.82,0
140US01101005700,26.09,49.3,0
140US01103005702,14.73,30.21,0
140US01079979700,24.99,33.39,0
140US01013953200,52.95,72.15,0
140US01013953400,60.63,81.59,0
140US01015001202,3.26,6.53,1
140US01015001400,5.9,17.63,1
140US01015002102,19.55,31.5,0
140US01015002501,14.84,23.99,1
140US01015981901,9.89,28.16,1
140US01017953900,21.41,36.7,0
140US01003011102,21.28,44.61,0
140US01003011403,32.07,59.17,0
140US01003011601,22.45,43.39,0
140US01129044300,49.67,72.8,0
140US01133965503,20.35,41.46,0
140US01003010704,14.32,29.08,1
140US01003011000,27.82,49.82,0
140US01073000300,8.85,19.62,2
140US01009050101,26.98,55.01,0
140US01011952200,38.64,67.44,0
140US01013952700,46.26,72.65,0
140US01083021000,14.73,27.48,1
140US01103005500,14.13,20.98,1
140US01127021400,13.39,24.47,1
140US01127021900,10.32,41.89,0
140US01119011300,43.75,48.67,0
140US01043965000,5.2,6.89,1
140US01033020704,1.99,5.94,1
140US01051030702,12.86,34.01,0
140US01069040800,9.89,23.45,1
140US01069041100,10.85,22.28,1
140US01069041400,12.85,22.37,1
140US01057020400,30.09,56.55,0
140US01069041600,18.51,35.37,0
140US01059973300,27.21,45.23,0
140US01073001500,7.06,21.44,3
140US01073001902,7.94,17.98,2
140US01073005104,2.26,16.58,2
140US01073005302,4.36,15.94,1
140US01073005701,2.97,12.47,2
140US01073005903,3.15,14.65,1
140US01073005907,3.57,14.8,1
140US01073005908,4.5,18.06,1
140US01073010002,5.91,13.78,2
140US01045021102,12.48,19.41,1
140US01069040201,5.53,17.91,1
140US01059973500,27.71,64.51,0
140US01061050100,39.68,67.61,0
140US01073004200,4.6,18.81,3
140US01073004701,6.72,21.8,2
140US01073004901,5.71,20.05,2
140US01043964700,4.08,13.68,1
140US01043964900,3.54,7.15,1
140US01043965100,8.97,14.38,1
140US01031010400,35.99,44.05,0
140US01031010600,42.42,64.62,0
140US01031011202,19.87,29.96,1
140US01033020100,0.44,0.0,1
140US01033020400,4.1,11.07,1
140US01101005609,3.99,16.59,1
140US01055010100,4.9,9.08,1
140US01055010200,6.68,10.47,1
140US01049961200,31.47,41.38,0
140US01045020200,21.12,49.25,0
140US01045020300,15.73,38.59,0
140US01051030200,26.41,53.99,0
140US01129044200,45.61,58.29,0
140US01129043900,65.41,116.59,0
140US01053969900,15.76,41.12,0
140US01073002000,6.15,17.65,2
140US01073002305,8.9,21.45,2
140US01073002700,6.34,19.87,3
140US01073003001,5.3,19.56,3
140US01073003002,5.28,20.44,3
140US01073003400,5.86,21.15,2
140US01073003700,4.87,19.06,2
140US01073003803,3.35,16.55,2
140US01017954200,26.05,38.23,0
140US01017954700,24.96,41.11,0
140US01043965600,17.44,51.41,0
140US01045020000,17.43,28.56,1
140US01055010501,10.29,16.61,1
140US01051031300,13.84,25.35,1
140US01055010502,9.23,15.99,1
140US01115040203,21.15,42.14,0
140US01115040204,27.31,40.14,0
140US01117030306,2.71,17.17,1
140US01117030315,8.79,23.46,2
140US01117030316,7.93,21.0,1
140US01109188600,51.52,91.13,0
140US01115040501,19.42,27.18,1
140US01115040402,20.42,27.98,1
140US01109189200,49.21,82.16,0
140US01117030604,4.65,22.79,1
140US01033020901,12.51,27.14,1
140US01033021000,23.6,32.27,0
140US01073011901,9.3,30.82,0
140US01117030502,10.73,23.59,1
140US01073010801,7.62,23.88,2
140US01073010803,8.0,24.23,1
140US01073011002,5.15,23.73,1
140US01111000400,28.77,54.27,0
140US01117030303,9.55,29.93,1
140US01055001600,4.62,8.88,1
140US01073012002,12.45,24.8,2
140US01035960600,46.78,72.15,0
140US01117030406,9.31,32.52,0
140US01133965502,18.77,49.52,0
140US01133965800,30.98,59.7,0
140US01119011600,25.13,34.73,0
140US01117030900,13.66,39.42,0
140US01121010101,6.06,13.19,1
140US01051030300,32.33,56.84,0
140US01117030214,14.45,44.8,0
140US01055011200,3.86,6.33,1
140US01121010201,19.14,27.41,1
140US01051030500,24.78,45.73,0
140US01069041700,27.23,45.46,0
140US01125012100,4.52,13.86,1
140US01125012303,4.65,18.63,1
140US01125012305,4.38,13.88,1
140US01057020100,25.22,46.63,0
140US01123962400,50.81,77.73,0
140US01057020200,35.21,66.44,0
140US01101005611,4.64,12.76,1
140US01125010101,12.17,25.71,1
140US01045021300,5.51,22.77,1
140US01045021400,9.87,25.86,1
140US01101005800,26.21,57.09,0
140US01101005902,10.88,23.57,1
140US01103000100,16.39,29.82,1
140US01103000400,17.0,26.96,1
140US01073011301,11.83,32.56,0
140US01127021500,13.64,24.32,1
140US01003011602,16.24,35.71,0
140US01005950500,46.83,84.87,0
140US01005950600,52.45,80.19,0
140US01051030701,9.65,22.87,1
140US01127021800,13.12,31.97,0
140US01073011107,4.03,0.0,1
140US01049960200,22.73,44.43,0
140US01049960400,30.9,54.83,0
140US01043965200,11.64,20.22,1
140US01073010401,1.76,5.41,2
140US01067030100,33.14,60.75,0
140US01067030400,21.89,43.58,0
140US01043964100,21.55,35.71,0
140US01043964200,10.8,17.78,1
140US01043964400,7.1,17.33,1
140US01033020802,13.59,20.85,1
140US01067030600,30.41,61.92,0
140US01073010402,2.86,7.28,2
140US01133965900,24.6,42.37,0
140US01055001200,1.74,3.85,1
140US01055010602,14.25,28.09,1
140US01055010900,10.36,18.76,1
140US01073010602,5.19,18.01,2
140US01073010704,3.69,14.99,2
140US01073010706,1.16,11.65,2
140US01061050300,29.79,49.74,0
140US01061050400,19.04,35.15,0
140US01073011108,2.83,7.05,1
140US01073011110,12.58,18.03,1
140US01073011208,7.31,15.1,1
140US01073011210,8.63,21.59,1
140US01049960900,33.83,46.22,0
140US01049961100,35.0,42.12,0
140US01003011502,30.21,55.93,0
140US01031010300,27.86,39.06,0
140US01055000200,3.25,6.91,1
140US01055000400,2.4,5.71,1
140US01055001100,5.55,12.55,1
140US01117030337,8.13,23.76,1
140US01117030341,4.94,16.27,1
140US01113030902,13.26,27.06,1
140US01117030345,6.72,22.78,1
140US01021060600,11.41,35.79,0
