GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GKT001,GKT002,GKT003,GKT004,GKT005,GKT006,GKT007,GKT008,GKT009,GKT010,GKT011,GKT012,GKT013,GKT014,GKT015,GKT016,GKT017,GKT018,GKT019,GKT020,GKT021,GKT022,GKT023,GKT024,GKT025,GKT026,GKT027,GKT028,GKT029,GKT030,GKT031,GKT032
"G370","2000","US","3","5","North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126160600432","13228705076","North Carolina","A","+35526729","-079746124","01",,,33391,21479,56272,102395,88284,105779,83762,86105,701557,155563,341266,154617,385321,119154,48270,31688,28715,18193,45277,107773,85021,108403,98220,85655,801421,206774,376901,203458,422749,134640,30009,14882
"G380","2000","US","2","4","North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178646833011","4464770063","North Dakota","A","+47534051","-099937310","01",,,790,528,1179,15706,3436,4303,3469,4514,55763,13681,33420,18465,31279,7256,3705,1807,815,534,1019,15087,3044,3796,3452,4284,58168,16524,36663,20102,36272,6851,2103,570
"G390","2000","US","2","3","Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106055800423","10040156786","Ohio","A","+40406215","-082720939","01",,,22068,10207,23909,103254,81486,121679,115268,119558,1226573,238348,454519,182243,508775,180151,76973,38995,21792,9678,24362,116531,91806,140845,137739,121903,1447978,294813,484284,257365,507481,187038,47104,17015
"G400","2000","US","3","7","Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177846860194","3188623148","Oklahoma","A","+35572285","-097043688","01",,,9621,6218,14761,37114,26845,34174,35953,39769,320672,79242,165195,54581,147999,49085,21419,10856,8309,4936,12226,41791,31043,42266,41608,40599,372935,102717,169302,64525,149083,52567,11057,4705
"G410","2000","US","4","9","Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248630538171","6174151143","Oregon","A","+44380111","-121878222","01",,,11165,6380,15238,26769,19880,26942,26557,38452,275209,86302,196341,72976,184664,66014,26687,15987,9421,4889,11260,26583,18851,28771,27888,35765,316020,118239,209871,76663,184588,64341,15402,6883
"G420","2000","US","1","2","Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116074476061","3208037275","Pennsylvania","A","+40616374","-077405999","01",,,29669,11124,30506,134981,96225,140300,120038,134128,1425640,207718,394648,211455,577266,215493,95645,54670,31659,11902,33330,168898,106740,159767,142415,144423,1724373,262154,420211,276349,576117,234998,68840,24602
"G440","2000","US","1","1","Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2706348685","1295300811","Rhode Island","A","+41730800","-071455484","01",,,4683,2692,5251,11883,11994,12559,9219,12422,86166,18955,35630,21732,55392,21181,8455,4747,6237,3582,6350,15634,14174,13788,10308,12310,106748,24911,42765,26763,54783,25691,5333,2235
"G450","2000","US","3","5","South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77983161188","4948771376","South Carolina","A","+33993155","-080963451","01",,,15809,11830,27125,51702,40467,53795,46253,50168,357621,71516,158263,75644,174271,53867,22815,12893,14590,10807,25566,58347,43759,59483,54526,50052,420433,91248,179167,97784,177255,70430,12770,5754
"G460","2000","US","2","4","South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196540314429","3190480713","South Dakota","A","+44247204","-099195494","01",,,1182,488,884,16338,4476,4918,4612,5308,77207,14501,35025,14125,34683,9736,4621,2238,915,323,747,14544,3790,4788,4777,5090,78799,19342,40432,19736,38880,8726,2201,927
"G470","2000","US","3","6","Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106751842839","2398721489","Tennessee","A","+35822799","-086090713","01",,,20841,17274,35747,102712,56606,70238,64207,67977,547492,106686,239203,73978,238704,76333,36114,20454,18522,14192,32129,118372,63548,80409,70163,68747,635207,141048,263212,103730,239759,91264,21751,8309
"G480","2000","US","3","7","Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"678051389889","17569713726","Texas","A","+31308052","-098241319","01",,,164833,100413,237365,214354,205646,182519,183857,229439,1461212,417454,926132,315741,1007132,339391,136381,73169,171637,103613,235075,238130,212015,202646,197176,235843,1715531,541109,974107,352753,989118,320501,75149,31452
"G490","2000","US","4","8","Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"212751079528","7135874231","Utah","A","+39845409","-111785442","01",,,4592,2388,6477,6713,8693,11390,14249,20585,130181,46989,118669,44049,112366,39811,14822,10725,4076,2004,5239,6937,8443,12262,14647,18316,164245,60533,122489,50763,101593,24882,5732,3032
"G500","2000","US","1","1","Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23956246818","944570995","Vermont","A","+44023032","-072674848","01",,,833,344,1429,8504,3816,5078,4174,4856,64514,9568,20376,13137,33994,14134,5255,3335,698,269,950,7742,3573,4538,3745,4347,66290,12803,25693,17921,40130,16745,3673,1759
"G510","2000","US","3","5","Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102548167005","8236501395","Virginia","A","+37554963","-078376114","01",,,24920,17323,42649,87336,54831,72524,65136,64397,557039,140462,287930,112269,398945,198229,65651,40801,22784,14852,36902,91418,55619,77855,69354,66710,655424,181723,341585,150544,436066,176625,41049,17622
"G530","2000","US","4","9","Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172348318782","12316884947","Washington","A","+47315690","-121102030","01",,,18451,8982,20000,35592,28612,37278,37154,58877,452066,145960,326751,145165,356849,123839,47194,27830,18966,8647,18426,36141,29335,40897,40113,56865,501478,188073,350017,162236,347977,117198,29163,11375
"G540","2000","US","3","5","West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62361027006","393757137","West Virginia","A","+38752463","-080740921","01",,,5774,4459,10982,39975,24135,25970,19408,18132,229992,32766,60530,20630,55466,21251,10409,5083,5173,3326,10167,43766,25495,27963,22175,18914,256342,44184,67545,32818,54185,28085,6457,2024
"G550","2000","US","2","3","Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140662519921","28976054385","Wisconsin","A","+44190581","-089568976","01",,,11122,4180,12815,63030,28581,44288,43657,52545,569595,113962,226051,121572,253433,82849,34773,18377,11739,4073,10067,69099,27957,42771,44901,47592,632218,138170,237481,139139,276835,85714,19232,8060
"G560","2000","US","4","8","Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251488872143","1847081495","Wyoming","A","+42868330","-107166807","01",,,772,314,987,3924,2490,3600,3422,4435,48758,13108,27610,10911,23075,7545,3524,1839,587,319,721,2990,2455,3508,3957,3836,49021,15350,29116,14310,23991,6959,1607,622
